Time ;Temperatur;Set_temp;Humidity;Set_H
(s);(�C);(�C);(%);(%)
0;19.2;5.0;120.0;0.0
30;19.35;20.0;120.0;0.0
60;19.68;20.0;120.0;0.0
90;19.94;20.0;120.0;0.0
120;20.07;20.0;120.0;0.0
150;20.07;20.0;120.0;0.0
180;20.05;20.0;120.0;0.0
210;20.05;20.0;120.0;0.0
240;20.03;20.0;120.0;0.0
270;19.99;20.0;120.0;0.0
300;19.95;20.0;120.0;0.0
330;19.89;20.0;120.0;0.0
360;19.81;20.0;120.0;0.0
390;19.98;20.0;120.0;0.0
420;20.09;20.0;120.0;0.0
450;20.1;20.0;120.0;0.0
480;20.1;20.0;120.0;0.0
510;20.07;20.0;120.0;0.0
540;20.01;20.0;120.0;0.0
570;20.0;20.0;120.0;0.0
600;19.98;20.0;120.0;0.0
630;19.81;20.0;120.0;0.0
660;19.79;20.0;120.0;0.0
690;20.03;20.0;120.0;0.0
720;20.09;20.0;120.0;0.0
750;20.1;20.0;120.0;0.0
780;20.1;20.0;120.0;0.0
810;20.07;20.0;120.0;0.0
840;20.03;20.0;120.0;0.0
870;20.0;20.0;120.0;0.0
900;19.98;20.0;120.0;0.0
930;19.96;20.0;120.0;0.0
960;19.81;20.0;120.0;0.0
990;19.76;20.0;120.0;0.0
1020;19.99;20.0;120.0;0.0
1050;20.11;20.0;120.0;0.0
1080;20.14;20.0;120.0;0.0
1110;20.11;20.0;120.0;0.0
1140;20.07;20.0;120.0;0.0
1170;20.05;20.0;120.0;0.0
1200;20.03;20.0;120.0;0.0
1230;19.99;20.0;120.0;0.0
1260;19.96;20.0;120.0;0.0
1290;19.79;20.0;120.0;0.0
1320;19.74;20.0;120.0;0.0
1350;20.0;20.0;120.0;0.0
1380;20.1;20.0;120.0;0.0
1410;20.14;20.0;120.0;0.0
1440;20.1;20.0;120.0;0.0
1470;20.09;20.0;120.0;0.0
1500;20.05;20.0;120.0;0.0
1530;20.03;20.0;120.0;0.0
1560;20.0;20.0;120.0;0.0
1590;19.98;20.0;120.0;0.0
1620;19.95;20.0;120.0;0.0
1650;19.78;20.0;120.0;0.0
1680;19.77;20.0;120.0;0.0
1710;20.01;20.0;120.0;0.0
1740;20.09;20.0;120.0;0.0
1770;20.12;20.0;120.0;0.0
1800;20.11;20.0;120.0;0.0
1830;20.1;20.0;120.0;0.0
1860;20.05;20.0;120.0;0.0
1890;20.03;20.0;120.0;0.0
1920;20.01;20.0;120.0;0.0
1950;19.99;20.0;120.0;0.0
1980;19.92;20.0;120.0;0.0
2010;19.72;20.0;120.0;0.0
2040;19.92;20.0;120.0;0.0
2070;20.09;20.0;120.0;0.0
2100;20.12;20.0;120.0;0.0
2130;20.11;20.0;120.0;0.0
2160;20.07;20.0;120.0;0.0
2190;20.07;20.0;120.0;0.0
2220;20.0;20.0;120.0;0.0
2250;20.01;20.0;120.0;0.0
2280;20.0;20.0;120.0;0.0
2310;19.98;20.0;120.0;0.0
2340;19.92;20.0;120.0;0.0
2370;19.73;20.0;120.0;0.0
2400;19.94;20.0;120.0;0.0
2430;20.07;20.0;120.0;0.0
2460;20.11;20.0;120.0;0.0
2490;20.1;20.0;120.0;0.0
2520;20.07;20.0;120.0;0.0
2550;20.07;20.0;120.0;0.0
2580;20.03;20.0;120.0;0.0
2610;20.01;20.0;120.0;0.0
2640;19.96;20.0;120.0;0.0
2670;19.96;20.0;120.0;0.0
2700;19.96;20.0;120.0;0.0
2730;19.73;20.0;120.0;0.0
2760;19.88;20.0;120.0;0.0
2790;20.07;20.0;120.0;0.0
2820;20.11;20.0;120.0;0.0
2850;20.11;20.0;120.0;0.0
2880;20.1;20.0;120.0;0.0
2910;20.07;20.0;120.0;0.0
2940;20.04;20.0;120.0;0.0
2970;20.01;20.0;120.0;0.0
3000;20.01;20.0;120.0;0.0
3030;19.99;20.0;120.0;0.0
3060;19.78;20.0;120.0;0.0
3090;19.81;20.0;120.0;0.0
3120;20.03;20.0;120.0;0.0
3150;20.11;20.0;120.0;0.0
3180;20.11;20.0;120.0;0.0
3210;20.07;20.0;120.0;0.0
3240;20.07;20.0;120.0;0.0
3270;20.04;20.0;120.0;0.0
3300;20.01;20.0;120.0;0.0
3330;20.0;20.0;120.0;0.0
3360;19.96;20.0;120.0;0.0
3390;19.83;20.0;120.0;0.0
3420;19.74;20.0;120.0;0.0
3450;20.01;20.0;120.0;0.0
3480;20.1;20.0;120.0;0.0
3510;20.12;20.0;120.0;0.0
3540;20.09;20.0;120.0;0.0
3570;20.07;20.0;120.0;0.0
3600;20.04;20.0;120.0;0.0
3630;20.01;20.0;120.0;0.0
3660;20.0;20.0;120.0;0.0
3690;19.96;20.0;120.0;0.0
3720;19.95;20.0;120.0;0.0
3750;19.96;20.0;120.0;0.0
3780;19.79;20.0;120.0;0.0
3810;19.78;20.0;120.0;0.0
3840;20.04;20.0;120.0;0.0
3870;20.14;20.0;120.0;0.0
3900;20.12;20.0;120.0;0.0
3930;20.1;20.0;120.0;0.0
3960;20.07;20.0;120.0;0.0
3990;20.05;20.0;120.0;0.0
4020;20.0;20.0;120.0;0.0
4050;20.0;20.0;120.0;0.0
4080;19.98;20.0;120.0;0.0
4110;19.96;20.0;120.0;0.0
4140;19.95;20.0;120.0;0.0
4170;19.74;20.0;120.0;0.0
4200;19.83;20.0;120.0;0.0
4230;20.07;20.0;120.0;0.0
4260;20.1;20.0;120.0;0.0
4290;20.1;20.0;120.0;0.0
4320;20.07;20.0;120.0;0.0
4350;20.07;20.0;120.0;0.0
4380;20.05;20.0;120.0;0.0
4410;20.03;20.0;120.0;0.0
4440;20.0;20.0;120.0;0.0
4470;19.99;20.0;120.0;0.0
4500;19.96;20.0;120.0;0.0
4530;19.76;20.0;120.0;0.0
4560;19.78;20.0;120.0;0.0
4590;20.04;20.0;120.0;0.0
4620;20.11;20.0;120.0;0.0
4650;20.12;20.0;120.0;0.0
4680;20.09;20.0;120.0;0.0
4710;20.07;20.0;120.0;0.0
4740;20.04;20.0;120.0;0.0
4770;20.01;20.0;120.0;0.0
4800;20.0;20.0;120.0;0.0
4830;19.98;20.0;120.0;0.0
4860;19.96;20.0;120.0;0.0
4890;19.95;20.0;120.0;0.0
4920;19.7;20.0;120.0;0.0
4950;19.85;20.0;120.0;0.0
4980;20.07;20.0;120.0;0.0
5010;20.14;20.0;120.0;0.0
5040;20.11;20.0;120.0;0.0
5070;20.1;20.0;120.0;0.0
5100;20.07;20.0;120.0;0.0
5130;20.04;20.0;120.0;0.0
5160;20.03;20.0;120.0;0.0
5190;20.0;20.0;120.0;0.0
5220;19.99;20.0;120.0;0.0
5250;19.85;20.0;120.0;0.0
5280;19.76;20.0;120.0;0.0
5310;20.0;20.0;120.0;0.0
5340;20.1;20.0;120.0;0.0
5370;20.1;20.0;120.0;0.0
5400;20.09;20.0;120.0;0.0
5430;20.07;20.0;120.0;0.0
5460;20.05;20.0;120.0;0.0
5490;20.03;20.0;120.0;0.0
5520;20.0;20.0;120.0;0.0
5550;19.99;20.0;120.0;0.0
5580;19.98;20.0;120.0;0.0
5610;19.96;20.0;120.0;0.0
5640;19.96;20.0;120.0;0.0
5670;19.73;20.0;120.0;0.0
5700;19.92;20.0;120.0;0.0
5730;20.09;20.0;120.0;0.0
5760;20.11;20.0;120.0;0.0
5790;20.11;20.0;120.0;0.0
5820;20.05;20.0;120.0;0.0
5850;20.04;20.0;120.0;0.0
5880;20.04;20.0;120.0;0.0
5910;20.0;20.0;120.0;0.0
5940;20.0;20.0;120.0;0.0
5970;19.99;20.0;120.0;0.0
6000;19.98;20.0;120.0;0.0
6030;19.84;20.0;120.0;0.0
6060;19.76;20.0;120.0;0.0
6090;20.0;20.0;120.0;0.0
6120;20.1;20.0;120.0;0.0
6150;20.1;20.0;120.0;0.0
6180;20.09;20.0;120.0;0.0
6210;20.07;20.0;120.0;0.0
6240;20.04;20.0;120.0;0.0
6270;20.01;20.0;120.0;0.0
6300;20.0;20.0;120.0;0.0
6330;19.99;20.0;120.0;0.0
6360;19.96;20.0;120.0;0.0
6390;19.95;20.0;120.0;0.0
6420;19.81;20.0;120.0;0.0
6450;19.76;20.0;120.0;0.0
6480;20.01;20.0;120.0;0.0
6510;20.1;20.0;120.0;0.0
6540;20.09;20.0;120.0;0.0
6570;20.1;20.0;120.0;0.0
6600;20.07;20.0;120.0;0.0
6630;20.05;20.0;120.0;0.0
6660;20.05;20.0;120.0;0.0
6690;20.0;20.0;120.0;0.0
6720;20.0;20.0;120.0;0.0
6750;19.99;20.0;120.0;0.0
6780;19.96;20.0;120.0;0.0
6810;19.92;20.0;120.0;0.0
6840;19.7;20.0;120.0;0.0
6870;19.95;20.0;120.0;0.0
6900;20.11;20.0;120.0;0.0
6930;20.12;20.0;120.0;0.0
6960;20.11;20.0;120.0;0.0
6990;20.09;20.0;120.0;0.0
7020;20.05;20.0;120.0;0.0
7050;20.05;20.0;120.0;0.0
7080;19.99;20.0;120.0;0.0
7110;19.99;20.0;120.0;0.0
7140;19.99;20.0;120.0;0.0
7170;19.96;20.0;120.0;0.0
7200;19.92;20.0;120.0;0.0
7230;19.7;20.0;120.0;0.0
7260;19.95;20.0;120.0;0.0
7290;20.09;20.0;120.0;0.0
7320;20.12;20.0;120.0;0.0
7350;20.11;20.0;120.0;0.0
7380;20.09;20.0;120.0;0.0
7410;20.07;20.0;120.0;0.0
7440;20.03;20.0;120.0;0.0
7470;20.01;20.0;120.0;0.0
7500;20.0;20.0;120.0;0.0
7530;19.99;20.0;120.0;0.0
7560;19.98;20.0;120.0;0.0
7590;19.92;20.0;120.0;0.0
7620;19.78;20.0;120.0;0.0
7650;20.0;20.0;120.0;0.0
7680;20.1;20.0;120.0;0.0
7710;20.12;20.0;120.0;0.0
7740;20.09;20.0;120.0;0.0
7770;20.07;20.0;120.0;0.0
7800;20.01;20.0;120.0;0.0
7830;20.01;20.0;120.0;0.0
7860;20.01;20.0;120.0;0.0
7890;19.99;20.0;120.0;0.0
7920;19.99;20.0;120.0;0.0
7950;19.98;20.0;120.0;0.0
7980;19.72;20.0;120.0;0.0
8010;19.84;20.0;120.0;0.0
8040;20.07;20.0;120.0;0.0
8070;20.11;20.0;120.0;0.0
8100;20.1;20.0;120.0;0.0
8130;20.07;20.0;120.0;0.0
8160;20.05;20.0;120.0;0.0
8190;20.04;20.0;120.0;0.0
8220;20.0;20.0;120.0;0.0
8250;20.01;20.0;120.0;0.0
8280;20.0;20.0;120.0;0.0
8310;19.99;20.0;120.0;0.0
8340;19.96;20.0;120.0;0.0
8370;19.73;20.0;120.0;0.0
8400;19.84;20.0;120.0;0.0
8430;20.04;20.0;120.0;0.0
8460;20.1;20.0;120.0;0.0
8490;20.11;20.0;120.0;0.0
8520;20.07;20.0;120.0;0.0
8550;20.07;20.0;120.0;0.0
8580;20.03;20.0;120.0;0.0
8610;20.03;20.0;120.0;0.0
8640;20.01;20.0;120.0;0.0
8670;19.98;20.0;120.0;0.0
8700;19.98;20.0;120.0;0.0
8730;19.96;20.0;120.0;0.0
8760;19.77;20.0;120.0;0.0
8790;19.87;20.0;120.0;0.0
